Simulation of Simon quantum algorithm.
bits = 2, simulations = 200
N	steps	time	time/steps
177	5	0.340	0.068
178	5	0.340	0.068
179	8	0.387	0.048
180	10	0.416	0.042
181	9	0.406	0.045
182	6	0.354	0.059
183	6	0.354	0.059
184	9	0.413	0.046
185	5	0.339	0.068
186	10	0.401	0.040
187	5	0.340	0.068
188	7	0.373	0.053
189	9	0.405	0.045
190	5	0.340	0.068
191	7	0.368	0.053
192	7	0.363	0.052
193	7	0.366	0.052
194	5	0.340	0.068
195	5	0.339	0.068
196	5	0.339	0.068
197	6	0.351	0.058
198	7	0.362	0.052
199	8	0.390	0.049
Analysis of simulated data.
Mean steps = 6.65
Var steps = 2.9675
Mean time/step = 0.05685380918799259
Var time/step = 7.946837143274471e-05
