rodrigo@hal ~/qc/python % python simon.py 
586/1000 N = 3.2862010221465074
587/1000 N = 3.2840136054421767
588/1000 N = 3.2818336162988118
589/1000 N = 3.2796610169491527
590/1000 N = 3.2774957698815568
591/1000 N = 3.2753378378378377
592/1000 N = 3.27318718381113
593/1000 N = 3.281144781144781
594/1000 N = 3.284033613445378
595/1000 N = 3.2818791946308723
596/1000 N = 3.2814070351758793
597/1000 N = 3.280936454849498
598/1000 N = 3.280467445742905
599/1000 N = 3.28
600/1000 N = 3.2778702163061566
601/1000 N = 3.277408637873754
602/1000 N = 3.2819237147595355
603/1000 N = 3.281456953642384
604/1000 N = 3.28099173553719
605/1000 N = 3.282178217821782
606/1000 N = 3.2899505766062602
607/1000 N = 3.2927631578947367
608/1000 N = 3.2955665024630543
609/1000 N = 3.3
610/1000 N = 3.304418985270049
611/1000 N = 3.303921568627451
612/1000 N = 3.301794453507341
613/1000 N = 3.3029315960912053
614/1000 N = 3.305691056910569
615/1000 N = 3.3068181818181817
616/1000 N = 3.3079416531604537
617/1000 N = 3.307443365695793
618/1000 N = 3.3069466882067853
619/1000 N = 3.3112903225806454
620/1000 N = 3.312399355877617
621/1000 N = 3.311897106109325
622/1000 N = 3.3130016051364364
623/1000 N = 3.3125
624/1000 N = 3.312
625/1000 N = 3.313099041533546
626/1000 N = 3.311004784688995
627/1000 N = 3.3121019108280256
628/1000 N = 3.3100158982511925
629/1000 N = 3.3079365079365077
630/1000 N = 3.3058637083993663
631/1000 N = 3.3085443037974684
632/1000 N = 3.306477093206951
633/1000 N = 3.309148264984227
634/1000 N = 3.3070866141732282
635/1000 N = 3.309748427672956
636/1000 N = 3.3108320251177394
637/1000 N = 3.3134796238244513
638/1000 N = 3.3129890453834117
639/1000 N = 3.3109375
640/1000 N = 3.31201248049922
641/1000 N = 3.3130841121495327
642/1000 N = 3.3110419906687403
643/1000 N = 3.31055900621118
644/1000 N = 3.310077519379845
645/1000 N = 3.308049535603715
646/1000 N = 3.3091190108191655
647/1000 N = 3.310185185185185
648/1000 N = 3.309707241910632
649/1000 N = 3.3076923076923075
650/1000 N = 3.3087557603686637
651/1000 N = 3.3098159509202456
652/1000 N = 3.30781010719755
653/1000 N = 3.305810397553517
654/1000 N = 3.3038167938931298
655/1000 N = 3.3033536585365852
656/1000 N = 3.3059360730593608
657/1000 N = 3.303951367781155
658/1000 N = 3.3019726858877085
659/1000 N = 3.3
660/1000 N = 3.3040847201210286
661/1000 N = 3.3036253776435047
662/1000 N = 3.3031674208144794
663/1000 N = 3.3042168674698793
664/1000 N = 3.303759398496241
665/1000 N = 3.3018018018018016
666/1000 N = 3.310344827586207
667/1000 N = 3.308383233532934
668/1000 N = 3.306427503736921
669/1000 N = 3.31044776119403
670/1000 N = 3.3129657228017884
671/1000 N = 3.3110119047619047
672/1000 N = 3.3090638930163445
673/1000 N = 3.308605341246291
674/1000 N = 3.3096296296296295
675/1000 N = 3.3106508875739644
676/1000 N = 3.308714918759232
677/1000 N = 3.308259587020649
678/1000 N = 3.30780559646539
679/1000 N = 3.3088235294117645
680/1000 N = 3.3069016152716593
681/1000 N = 3.309384164222874
682/1000 N = 3.3103953147877014
683/1000 N = 3.3128654970760234
684/1000 N = 3.310948905109489
685/1000 N = 3.313411078717201
686/1000 N = 3.3114992721979624
687/1000 N = 3.311046511627907
688/1000 N = 3.3105950653120466
689/1000 N = 3.3144927536231883
690/1000 N = 3.314037626628075
691/1000 N = 3.316473988439306
692/1000 N = 3.324675324675325
693/1000 N = 3.322766570605187
694/1000 N = 3.320863309352518
695/1000 N = 3.3189655172413794
696/1000 N = 3.3185078909612624
697/1000 N = 3.319484240687679
698/1000 N = 3.319027181688126
699/1000 N = 3.3185714285714285
700/1000 N = 3.316690442225392
701/1000 N = 3.3162393162393164
702/1000 N = 3.318634423897582
703/1000 N = 3.3167613636363638
704/1000 N = 3.3148936170212764
705/1000 N = 3.313031161473088
706/1000 N = 3.3111739745403113
707/1000 N = 3.3135593220338984
708/1000 N = 3.324400564174894
709/1000 N = 3.3225352112676054
710/1000 N = 3.3220815752461323
711/1000 N = 3.321629213483146
712/1000 N = 3.3225806451612905
713/1000 N = 3.323529411764706
714/1000 N = 3.325874125874126
